iter	MAE
0	2187.663374
1	2187.660875
2	2187.658375
3	2187.655876
4	2187.653376
5	2187.650876
6	2187.648377
7	2187.645877
8	2187.643378
9	2187.640878
10	2187.638379
11	2187.635879
12	2187.63338
13	2187.63088
14	2187.628381
15	2187.625881
16	2187.623382
17	2187.620883
18	2187.618383
19	2187.615883
20	2187.613384
21	2187.610884
22	2187.608385
23	2187.605885
24	2187.603385
25	2187.600886
26	2187.598386
27	2187.595887
28	2187.593387
29	2187.590888
30	2187.588388
31	2187.585888
32	2187.583389
33	2187.58089
34	2187.57839
35	2187.57589
36	2187.573391
37	2187.570891
38	2187.568392
39	2187.565892
40	2187.563393
41	2187.560893
42	2187.558394
43	2187.555894
44	2187.553395
45	2187.550895
46	2187.548396
47	2187.545896
48	2187.543396
49	2187.540897
50	2187.538397
51	2187.535897
52	2187.533398
53	2187.530898
54	2187.528398
55	2187.525899
56	2187.523399
57	2187.5209
58	2187.5184
59	2187.5159
60	2187.513401
61	2187.510901
62	2187.508402
63	2187.505902
64	2187.503403
65	2187.500903
66	2187.498404
67	2187.495904
68	2187.493404
69	2187.490905
70	2187.488405
71	2187.485906
72	2187.483406
73	2187.480907
74	2187.478407
75	2187.475908
76	2187.473409
77	2187.470909
78	2187.46841
79	2187.46591
80	2187.463411
81	2187.460911
82	2187.458412
83	2187.455912
84	2187.453412
85	2187.450913
86	2187.448413
87	2187.445913
88	2187.443414
89	2187.440914
90	2187.438414
91	2187.435915
92	2187.433415
93	2187.430916
94	2187.428416
95	2187.425917
96	2187.423417
97	2187.420918
98	2187.418418
99	2187.415919
100	2187.413419
101	2187.410919
102	2187.40842
103	2187.40592
104	2187.403421
105	2187.400921
106	2187.398422
107	2187.395922
108	2187.393422
109	2187.390923
110	2187.388423
111	2187.385924
112	2187.383424
113	2187.380925
114	2187.378425
115	2187.375926
116	2187.373426
117	2187.370926
118	2187.368427
119	2187.365927
120	2187.363428
121	2187.360928
122	2187.358428
123	2187.355929
124	2187.353429
125	2187.35093
126	2187.34843
127	2187.34593
128	2187.343431
129	2187.340931
130	2187.338432
131	2187.335932
132	2187.333433
133	2187.330933
134	2187.328434
135	2187.325934
136	2187.323435
137	2187.320935
138	2187.318436
139	2187.315936
140	2187.313437
141	2187.310937
142	2187.308438
143	2187.305938
144	2187.303439
145	2187.300939
146	2187.298439
147	2187.29594
148	2187.29344
149	2187.290941
150	2187.288441
151	2187.285941
152	2187.283442
153	2187.280942
154	2187.278443
155	2187.275943
156	2187.273444
157	2187.270944
158	2187.268444
159	2187.265945
160	2187.263446
161	2187.260946
162	2187.258446
163	2187.255947
164	2187.253447
165	2187.250948
166	2187.248448
167	2187.245949
168	2187.243449
169	2187.24095
170	2187.23845
171	2187.235951
172	2187.233451
173	2187.230951
174	2187.228452
175	2187.225952
176	2187.223453
177	2187.220953
178	2187.218453
179	2187.215954
180	2187.213455
181	2187.210955
182	2187.208455
183	2187.205956
184	2187.203456
185	2187.200957
186	2187.198457
187	2187.195958
188	2187.193458
189	2187.190959
190	2187.188459
191	2187.185959
192	2187.18346
193	2187.18096
194	2187.178461
195	2187.175961
196	2187.173462
197	2187.170963
198	2187.168463
199	2187.165964
200	2187.163464
201	2187.160964
202	2187.158465
203	2187.155965
204	2187.153466
205	2187.150966
206	2187.148467
207	2187.145967
208	2187.143468
209	2187.140969
210	2187.138469
211	2187.135969
212	2187.13347
213	2187.13097
214	2187.128471
215	2187.125971
216	2187.123471
217	2187.120972
218	2187.118472
219	2187.115973
220	2187.113473
221	2187.110974
222	2187.108474
223	2187.105974
224	2187.103475
225	2187.100975
226	2187.098475
227	2187.095976
228	2187.093476
229	2187.090977
230	2187.088477
231	2187.085978
232	2187.083478
233	2187.080979
234	2187.078479
235	2187.07598
236	2187.07348
237	2187.070981
238	2187.068481
239	2187.065982
240	2187.063482
241	2187.060983
242	2187.058483
243	2187.055984
244	2187.053484
245	2187.050985
246	2187.048485
247	2187.045986
248	2187.043486
249	2187.040987
250	2187.038487
251	2187.035988
252	2187.033488
253	2187.030989
254	2187.028489
255	2187.02599
256	2187.02349
257	2187.020991
258	2187.018491
259	2187.015992
260	2187.013493
261	2187.010993
262	2187.008494
263	2187.005994
264	2187.003494
265	2187.000995
266	2186.998495
267	2186.995996
268	2186.993496
269	2186.990996
270	2186.988497
271	2186.985997
272	2186.983498
273	2186.980998
274	2186.978499
275	2186.975999
276	2186.973499
277	2186.971
278	2186.9685
279	2186.966001
280	2186.963501
281	2186.961002
282	2186.958502
283	2186.956003
284	2186.953503
285	2186.951004
286	2186.948504
287	2186.946005
288	2186.943505
289	2186.941006
290	2186.938506
291	2186.936006
292	2186.933507
293	2186.931007
294	2186.928508
295	2186.926008
296	2186.923509
297	2186.921009
298	2186.91851
299	2186.91601
300	2186.913511
301	2186.911011
302	2186.908512
303	2186.906012
304	2186.903513
305	2186.901013
306	2186.898514
307	2186.896014
308	2186.893515
309	2186.891015
310	2186.888515
311	2186.886016
312	2186.883517
313	2186.881018
314	2186.878518
315	2186.876019
316	2186.873519
317	2186.87102
318	2186.86852
319	2186.86602
320	2186.863521
321	2186.861022
322	2186.858522
323	2186.856023
324	2186.853523
325	2186.851024
326	2186.848524
327	2186.846024
328	2186.843525
329	2186.841026
330	2186.838526
331	2186.836026
332	2186.833527
333	2186.831027
334	2186.828528
335	2186.826028
336	2186.823529
337	2186.821029
338	2186.81853
339	2186.81603
340	2186.813531
341	2186.811031
342	2186.808532
343	2186.806033
344	2186.803533
345	2186.801034
346	2186.798534
347	2186.796035
348	2186.793535
349	2186.791036
350	2186.788536
351	2186.786037
352	2186.783537
353	2186.781037
354	2186.778538
355	2186.776038
356	2186.773539
357	2186.771039
358	2186.76854
359	2186.76604
360	2186.76354
361	2186.761041
362	2186.758542
363	2186.756042
364	2186.753543
365	2186.751043
366	2186.748543
367	2186.746044
368	2186.743544
369	2186.741045
370	2186.738545
371	2186.736045
372	2186.733546
373	2186.731046
374	2186.728547
375	2186.726047
376	2186.723547
377	2186.721048
378	2186.718548
379	2186.716049
380	2186.713549
381	2186.71105
382	2186.70855
383	2186.706051
384	2186.703551
385	2186.701052
386	2186.698553
387	2186.696053
388	2186.693554
389	2186.691054
390	2186.688555
391	2186.686055
392	2186.683556
393	2186.681057
394	2186.678557
395	2186.676058
396	2186.673558
397	2186.671059
398	2186.668559
399	2186.66606
400	2186.66356
401	2186.661061
402	2186.658561
403	2186.656062
404	2186.653562
405	2186.651063
406	2186.648563
407	2186.646064
408	2186.643564
409	2186.641065
410	2186.638566
411	2186.636066
412	2186.633566
413	2186.631067
414	2186.628567
415	2186.626067
416	2186.623568
417	2186.621068
418	2186.618569
419	2186.616069
420	2186.613569
421	2186.61107
422	2186.608571
423	2186.606071
424	2186.603572
425	2186.601072
426	2186.598573
427	2186.596073
428	2186.593574
429	2186.591074
430	2186.588574
431	2186.586075
432	2186.583575
433	2186.581076
434	2186.578576
435	2186.576077
436	2186.573577
437	2186.571078
438	2186.568579
439	2186.566079
440	2186.563579
441	2186.56108
442	2186.55858
443	2186.556081
444	2186.553582
445	2186.551082
446	2186.548583
447	2186.546083
448	2186.543584
449	2186.541084
450	2186.538585
451	2186.536085
452	2186.533585
453	2186.531086
454	2186.528586
455	2186.526087
456	2186.523587
457	2186.521087
458	2186.518588
459	2186.516088
460	2186.513588
461	2186.511089
462	2186.508589
463	2186.50609
464	2186.50359
465	2186.50109
466	2186.498591
467	2186.496091
468	2186.493592
469	2186.491092
470	2186.488593
471	2186.486093
472	2186.483594
473	2186.481094
474	2186.478595
475	2186.476095
476	2186.473596
477	2186.471096
478	2186.468596
479	2186.466097
480	2186.463597
481	2186.461098
482	2186.458598
483	2186.456099
484	2186.453599
485	2186.4511
486	2186.4486
487	2186.4461
488	2186.443601
489	2186.441102
490	2186.438602
491	2186.436103
492	2186.433603
493	2186.431104
494	2186.428604
495	2186.426105
496	2186.423605
497	2186.421105
498	2186.418606
499	2186.416106
