iter	Passed	Remaining
0	3821	7639561
1	7695	7688124
2	11586	7712570
3	15587	7778210
4	19624	7830012
5	23598	7842621
6	27730	7895374
7	31842	7928827
8	35937	7950187
9	40043	7968634
10	44171	7986974
11	48347	8009513
12	52538	8030380
13	56677	8040060
14	60889	8057655
15	64985	8058210
16	69276	8080863
17	73405	8082744
18	77590	8089824
19	81955	8113547
20	86184	8121882
21	90354	8123705
22	94644	8135335
23	98818	8136087
24	102955	8133497
25	107179	8137373
26	111268	8130826
27	115579	8140074
28	119825	8144013
29	124121	8150658
30	128330	8151052
31	132473	8147131
32	136543	8138819
33	140628	8131647
34	144873	8133621
35	149076	8132964
36	153202	8128034
37	157437	8128736
38	161566	8123889
39	165671	8117884
40	169727	8109669
41	173933	8108602
42	178892	8141671
43	183298	8148471
44	187415	8142171
45	191541	8136369
46	195683	8131259
47	199740	8122771
48	203786	8114040
49	208002	8112082
50	212418	8117710
51	216796	8121524
52	220964	8117308
53	225229	8116605
54	229288	8108471
55	233794	8116024
56	238080	8115629
57	242282	8112294
58	246371	8105215
59	250572	8101832
60	254721	8096813
61	258928	8093595
62	263004	8086348
63	267284	8085367
64	271803	8091377
65	275877	8084032
66	280056	8079841
67	284312	8077818
68	288550	8075222
69	292771	8072139
70	296893	8066298
71	301021	8060683
72	305056	8052664
73	309373	8052060
74	313595	8048948
75	317872	8047194
76	321999	8041620
77	326184	8037510
78	330296	8031652
79	334831	8035945
80	339079	8033247
81	343211	8027811
82	347452	8024886
83	351637	8020684
84	355718	8014119
85	359912	8010147
86	364336	8011222
87	368479	8006052
88	372622	8000917
89	376822	7997012
90	381018	7993015
91	385142	7987522
92	389558	7988036
93	393913	7987231
94	398113	7983220
95	402240	7977768
96	406558	7976092
97	410787	7972632
98	415089	7970561
99	419452	7969591
100	423702	7966440
101	427792	7960292
102	431929	7955051
103	436046	7949469
104	440123	7943172
105	444144	7935942
106	448404	7932980
107	452672	7930158
108	456936	7927215
109	461280	7925636
110	465249	7917616
111	469429	7913241
112	473753	7911263
113	477850	7905495
114	482155	7903162
115	486328	7898640
116	490461	7893492
117	494533	7887393
118	498743	7883508
119	502985	7880109
120	507438	7879977
121	511646	7876005
122	515898	7872688
123	520063	7868060
124	524222	7863341
125	528397	7858857
126	532535	7853853
127	536791	7850572
128	541006	7846685
129	545173	7842116
130	549416	7838617
131	553595	7834208
132	557763	7829662
133	561996	7826008
134	566048	7819850
135	570143	7814326
136	574659	7814533
137	578810	7809750
138	583018	7805739
139	587199	7801366
140	591283	7795721
141	595523	7792129
142	599727	7788072
143	603977	7784598
144	608064	7779030
145	612371	7776284
146	616706	7773855
147	621027	7771233
148	625118	7765732
149	629294	7761294
150	633693	7759596
151	637882	7755306
152	642095	7751308
153	646239	7746482
154	650391	7741758
155	654629	7738062
156	659010	7736030
157	663232	7732117
158	667530	7729078
159	671782	7725501
160	675913	7720524
161	680139	7716647
162	684335	7712424
163	688545	7708349
164	692878	7705645
165	697247	7703321
166	701539	7700128
167	705786	7696431
168	710030	7692694
169	714129	7687393
170	718338	7683281
171	722750	7681320
172	726884	7676406
173	731029	7671609
174	735226	7667358
175	739429	7663174
176	743656	7659239
177	747901	7655485
178	752121	7651471
179	756211	7646134
180	760548	7643303
181	764632	7637919
182	768919	7634571
183	773075	7629919
184	777348	7626415
185	781584	7622545
186	785794	7618420
187	789821	7612539
188	794084	7608930
189	798165	7603575
190	802346	7599188
191	806539	7594914
192	810733	7590654
193	815194	7588872
194	819472	7585376
195	823710	7581497
196	827969	7577813
197	832140	7573321
198	836724	7572563
199	840970	7568737
200	845137	7564188
201	849479	7561210
202	853647	7556676
203	857844	7552396
204	862008	7547831
205	866218	7543670
206	870481	7539965
207	874711	7535975
208	878955	7532101
209	883096	7527349
210	887228	7522518
211	891383	7517890
212	895631	7514050
213	899747	7509108
214	903995	7505266
215	908365	7502427
216	912509	7497719
217	916681	7493238
218	920955	7489597
219	925156	7485356
220	929229	7480089
221	933661	7477700
222	937825	7473168
223	941969	7468470
224	946176	7464285
225	950317	7459575
226	954449	7454799
227	958638	7450474
228	962744	7445502
229	966773	7439952
230	970805	7434433
231	974935	7429681
232	978997	7424412
233	983124	7419651
234	987201	7414512
235	991427	7410500
236	995516	7405470
237	999699	7401139
238	1003798	7396191
239	1007995	7391964
240	1012178	7387639
241	1016274	7382686
242	1020477	7378515
243	1024594	7373720
244	1028713	7368944
245	1032854	7364333
246	1037076	7360304
247	1041316	7356399
248	1045470	7351882
249	1049794	7348564
250	1054072	7344910
251	1058518	7342424
252	1062761	7338514
253	1066838	7333461
254	1071071	7329490
255	1075451	7326513
